frame,cls_id,obj_id,dist_gt,dist_pred,error_pct,iou
0,2,1,12.855,10.25,20.26,0.96
1,2,1,11.916,10.25,13.98,0.92
2,2,1,10.977,10.151,7.52,0.9
3,2,1,10.038,9.908,1.29,0.92
4,2,1,9.099,9.517,4.6,0.9
5,2,1,8.16,9.034,10.71,0.88
46,2,2,19.178,16.057,16.27,0.68
47,2,2,18.869,16.093,14.71,0.73
48,2,2,18.409,16.12,12.43,0.68
49,2,2,17.949,16.228,9.59,0.7
50,2,2,17.429,16.324,6.34,0.73
51,2,2,16.91,16.395,3.04,0.72
52,2,2,16.333,16.356,0.14,0.72
53,2,2,15.756,16.155,2.54,0.77
54,2,2,15.179,15.824,4.25,0.85
55,2,2,14.54,15.46,6.33,0.82
56,2,2,13.901,15.014,8.01,0.82
57,2,2,13.262,14.48,9.18,0.82
59,2,7,18.271,16.734,8.42,0.67
60,2,7,17.645,16.905,4.19,0.68
61,2,7,17.032,16.95,0.48,0.7
62,2,7,16.368,16.984,3.76,0.69
63,2,8,20.304,19.887,2.05,0.58
66,2,8,18.298,19.887,8.68,0.58
67,2,10,30.825,31.518,2.25,0.8
67,2,8,17.568,19.35,10.14,0.54
68,2,10,30.095,31.659,5.2,0.82
68,2,8,16.838,18.792,11.6,0.57
69,2,10,29.365,31.624,7.69,0.86
69,2,8,16.108,18.245,13.27,0.55
70,2,10,28.633,31.426,9.76,0.88
70,2,8,15.3,17.662,15.44,0.52
71,2,10,27.901,30.993,11.08,0.85
71,2,8,14.661,17.088,16.55,0.55
72,2,10,27.169,30.233,11.28,0.91
72,2,8,13.902,16.371,17.76,0.56
73,2,8,13.143,15.544,18.27,0.66
74,2,8,12.384,14.771,19.28,0.72
74,2,10,25.644,29.133,13.61,0.88
75,2,10,24.881,28.156,13.16,0.9
76,2,10,24.118,27.424,13.71,0.92
77,2,10,23.355,26.874,15.07,0.92
78,2,10,22.468,26.445,17.7,0.88
79,2,10,21.706,25.827,18.99,0.92
80,2,10,20.943,24.974,19.25,0.86
81,2,10,20.181,23.959,18.72,0.86
82,2,10,19.37,22.806,17.74,0.85
83,2,10,18.56,21.726,17.06,0.87
84,2,10,17.673,20.714,17.21,0.87
85,2,10,16.785,19.848,18.25,0.85
86,2,10,15.898,19.084,20.04,0.84
87,2,10,15.011,18.399,22.57,0.83
88,2,10,14.123,17.706,25.37,0.82
126,2,24,22.32,22.603,1.27,0.65
127,2,21,9.97,12.942,29.82,0.52
128,2,21,9.043,12.121,34.04,0.55
128,2,24,20.474,22.603,10.4,0.68
129,2,24,19.551,22.204,13.57,0.66
130,2,18,25.771,39.223,52.2,0.79
131,2,26,11.71,11.114,5.09,0.7
131,2,18,24.81,35.47,42.97,0.76
131,2,24,17.646,21.659,22.74,0.71
132,2,26,10.749,11.114,3.39,0.72
132,2,24,16.693,20.716,24.1,0.75
133,2,24,15.741,19.688,25.08,0.68
134,2,24,14.788,18.75,26.79,0.72
134,2,18,21.941,32.134,46.45,0.75
135,2,24,13.819,17.827,29.01,0.73
135,2,18,20.995,29.222,39.18,0.74
136,2,24,12.85,16.838,31.04,0.71
136,2,18,20.049,26.703,33.19,0.79
137,2,24,11.881,15.861,33.5,0.76
137,2,18,19.104,24.478,28.13,0.87
138,2,24,10.911,14.828,35.89,0.82
138,2,27,19.084,18.533,2.88,0.73
140,2,27,17.193,18.533,7.8,0.81
141,2,27,16.248,18.178,11.88,0.78
142,2,27,15.27,17.655,15.62,0.8
142,2,28,23.246,23.235,0.05,0.87
143,2,27,14.292,17.049,19.29,0.83
143,2,28,22.291,23.235,4.24,0.85
144,2,28,21.337,23.088,8.21,0.79
145,2,28,20.382,22.834,12.03,0.77
146,2,28,19.435,22.453,15.52,0.82
147,2,28,18.489,21.869,18.28,0.86
148,2,28,17.542,21.181,20.74,0.86
149,2,28,16.595,20.49,23.47,0.9
150,2,28,15.649,19.738,26.13,0.91
151,2,28,14.725,18.904,28.38,0.91
152,2,28,13.8,17.957,30.12,0.89
152,2,31,24.577,23.422,4.7,0.81
153,2,28,12.876,16.95,31.64,0.89
153,2,31,23.632,23.422,0.89,0.89
154,2,28,11.952,15.889,32.93,0.84
154,2,31,22.706,23.13,1.87,0.87
155,2,28,11.028,14.86,34.74,0.83
155,2,31,21.779,22.689,4.18,0.9
156,2,31,20.853,22.227,6.59,0.9
157,2,31,19.926,21.721,9.01,0.89
158,2,31,19.004,21.181,11.45,0.86
159,2,31,18.082,20.572,13.77,0.86
160,2,31,17.16,19.824,15.53,0.85
161,2,31,16.231,18.938,16.68,0.83
162,2,31,15.301,18.039,17.89,0.83
163,2,31,14.372,17.17,19.47,0.86
164,2,31,13.443,16.373,21.8,0.81
184,2,43,39.455,38.787,1.69,0.8
193,2,51,25.395,25.837,1.74,0.84
195,2,51,23.569,25.837,9.62,0.87
196,2,51,22.658,25.093,10.75,0.86
196,2,43,28.311,37.781,33.45,0.86
197,2,51,21.747,24.065,10.66,0.84
197,2,54,38.345,27.009,29.56,0.73
197,2,43,27.396,34.526,26.03,0.91
198,2,51,20.835,23.169,11.2,0.79
198,2,54,37.436,27.372,26.88,0.81
