frame,cls_id,obj_id,dist_gt,dist_pred,error_pct,iou
0,2,6,15.254,14.319,6.13,0.91
1,2,6,15.053,14.319,4.88,0.91
2,2,6,14.852,14.262,3.97,0.9
3,2,6,14.651,14.174,3.26,0.89
4,2,6,14.45,14.014,3.02,0.89
5,2,6,14.25,13.839,2.88,0.89
6,2,6,14.049,13.642,2.9,0.89
7,2,6,13.848,13.472,2.71,0.93
8,2,6,13.647,13.338,2.27,0.9
9,2,6,13.446,13.234,1.57,0.9
10,2,6,13.245,13.117,0.96,0.87
11,2,6,13.139,13.022,0.89,0.87
12,2,6,13.032,12.938,0.72,0.84
13,2,6,12.926,12.868,0.44,0.87
14,2,6,12.82,12.77,0.39,0.91
15,2,6,12.713,12.596,0.92,0.94
16,2,6,12.607,12.376,1.83,0.92
17,2,6,12.5,12.163,2.7,0.92
18,2,6,12.394,11.988,3.28,0.91
19,2,6,12.288,11.851,3.55,0.91
20,2,6,12.181,11.711,3.86,0.91
21,2,6,12.198,11.594,4.96,0.92
22,2,6,12.215,11.471,6.09,0.89
23,2,6,12.232,11.379,6.97,0.89
24,2,6,12.249,11.329,7.51,0.89
25,2,6,12.265,11.297,7.89,0.86
26,2,6,12.383,11.294,8.79,0.87
27,2,6,12.5,11.291,9.67,0.88
28,2,6,12.617,11.294,10.48,0.89
29,2,6,12.734,11.297,11.28,0.87
30,2,6,12.851,11.339,11.76,0.91
31,2,6,13.068,11.371,12.99,0.93
32,2,6,13.285,11.381,14.33,0.94
33,2,6,13.502,11.389,15.66,0.94
34,2,6,13.719,11.416,16.79,0.92
35,2,6,13.937,11.463,17.75,0.94
36,2,6,14.236,11.506,19.17,0.94
37,2,6,14.535,11.561,20.46,0.92
38,2,6,14.833,11.649,21.47,0.91
39,2,6,15.132,11.771,22.21,0.9
40,2,6,15.431,11.904,22.86,0.89
41,2,6,15.778,12.06,23.57,0.9
42,2,6,16.124,12.219,24.22,0.91
43,2,6,16.471,12.399,24.72,0.91
44,2,6,16.817,12.578,25.21,0.93
45,2,6,17.164,12.752,25.7,0.9
46,2,6,17.512,12.946,26.07,0.92
47,2,6,17.86,13.114,26.57,0.89
48,2,6,18.208,13.327,26.8,0.88
49,2,6,18.556,13.545,27.0,0.89
50,2,6,18.904,13.847,26.75,0.9
51,2,6,19.21,14.152,26.33,0.89
