frame,cls_id,obj_id,dist_gt,dist_pred,error_pct,iou
0,0,1,5.924,6.714,13.34,0.91
0,0,3,6.816,7.95,16.63,0.62
1,0,1,5.882,6.714,14.16,0.8
1,0,3,6.742,7.95,17.91,0.72
2,0,1,5.825,6.714,15.26,0.75
2,0,3,6.668,7.95,19.22,0.85
3,0,1,5.769,6.714,16.39,0.69
3,0,3,6.594,7.932,20.3,0.87
4,0,1,5.712,6.712,17.51,0.8
4,0,3,6.519,7.869,20.71,0.89
5,0,1,5.668,6.675,17.76,0.79
5,0,3,6.445,7.798,21.0,0.93
6,0,1,5.624,6.646,18.17,0.78
6,0,3,6.41,7.674,19.73,0.96
7,0,1,5.554,6.607,18.97,0.85
7,0,3,6.375,7.551,18.45,0.84
8,0,1,5.483,6.578,19.96,0.89
8,0,3,6.34,7.442,17.38,0.83
9,0,1,5.413,6.532,20.68,0.72
9,0,3,6.305,7.348,16.53,0.86
10,0,1,5.343,6.484,21.37,0.8
10,0,3,6.27,7.258,15.76,0.84
11,0,1,5.27,6.441,22.22,0.8
11,0,3,6.192,7.172,15.82,0.82
12,0,1,5.197,6.408,23.29,0.73
12,0,3,6.091,7.08,16.23,0.64
13,0,1,5.125,6.384,24.57,0.71
13,0,3,5.991,6.983,16.57,0.79
14,0,1,5.052,6.367,26.02,0.76
14,0,3,5.89,6.908,17.28,0.84
15,0,1,5.014,6.354,26.71,0.83
15,0,3,5.789,6.825,17.89,0.93
16,0,1,4.976,6.338,27.37,0.89
16,0,3,5.689,6.731,18.31,0.78
17,0,1,4.938,6.325,28.07,0.88
17,0,3,5.588,6.643,18.88,0.87
17,0,9,19.195,49.116,155.88,0.85
18,0,1,4.87,6.314,29.65,0.84
18,0,3,5.487,6.567,19.67,0.77
18,0,9,19.105,49.116,157.08,0.72
19,0,1,4.8,6.306,31.38,0.84
19,0,3,5.387,6.505,20.77,0.79
19,0,9,19.015,49.116,158.3,0.63
19,0,12,22.875,91.482,299.92,0.69
20,0,1,4.733,6.305,33.21,0.84
20,0,3,5.286,6.458,22.17,0.84
20,0,12,22.736,91.482,302.37,0.61
21,0,1,4.648,6.307,35.67,0.89
21,0,3,5.214,6.423,23.19,0.76
21,0,12,22.596,90.346,299.83,0.62
21,0,9,18.835,49.116,160.77,0.68
22,0,1,4.563,6.308,38.24,0.87
22,0,3,5.142,6.402,24.5,0.64
22,0,7,6.898,8.23,19.31,0.77
23,0,1,4.478,6.31,40.89,0.67
23,0,3,5.07,6.388,26.0,0.51
23,0,7,6.852,8.23,20.11,0.92
24,0,1,4.994,6.309,26.32,0.53
24,0,3,4.393,6.383,45.29,0.54
