frame,cls_id,obj_id,dist_gt,dist_pred,error_pct,iou
58,2,16,20.537,38.101,85.52,0.86
59,2,16,19.615,35.543,81.21,0.86
60,2,16,18.692,33.122,77.2,0.82
61,2,16,17.712,30.897,74.44,0.8
62,2,16,16.733,28.802,72.13,0.81
63,2,16,15.753,26.781,70.01,0.82
64,2,16,14.773,24.861,68.29,0.8
65,2,16,14.135,22.981,62.58,0.83
66,2,16,13.026,21.289,63.44,0.83
67,2,16,12.136,19.579,61.33,0.82
68,2,16,11.505,17.989,56.36,0.85
69,2,16,10.873,16.488,51.64,0.85
70,2,16,10.242,15.045,46.89,0.86
71,2,16,9.575,13.702,43.09,0.86
72,2,16,8.909,12.479,40.08,0.87
73,2,16,8.242,11.337,37.55,0.86
74,2,16,7.576,10.322,36.25,0.82
75,0,29,10.766,13.395,24.42,0.81
76,0,29,10.778,13.395,24.28,0.67
77,0,29,10.789,13.395,24.15,0.68
78,0,29,10.801,13.395,24.01,0.7
79,0,29,10.813,13.378,23.72,0.67
80,0,29,10.825,13.339,23.22,0.64
81,0,29,10.837,13.297,22.7,0.65
82,0,29,10.849,13.187,21.55,0.71
83,0,29,10.861,13.029,19.97,0.66
84,0,29,10.873,12.909,18.73,0.62
85,0,29,10.884,12.796,17.56,0.69
86,0,29,10.865,12.711,16.99,0.65
87,0,29,10.846,12.688,16.99,0.62
88,0,29,10.826,12.704,17.34,0.64
89,0,29,10.807,12.683,17.36,0.62
90,0,29,10.787,12.665,17.41,0.61
106,0,33,22.62,23.476,3.79,0.51
108,0,33,22.318,23.476,5.19,0.55
141,0,38,11.162,11.357,1.75,0.76
145,0,41,9.103,9.234,1.43,0.68
146,0,41,8.579,9.234,7.62,0.71
193,0,69,7.641,8.267,8.19,0.6
196,0,69,7.113,8.284,16.46,0.52
197,0,69,6.923,8.12,17.29,0.51
198,0,69,6.733,7.981,18.54,0.55
199,0,69,6.543,7.848,19.94,0.51
200,0,69,6.353,7.693,21.09,0.55
201,0,69,6.163,7.497,21.64,0.63
202,0,69,5.992,7.312,22.02,0.69
202,0,74,16.208,19.006,17.26,0.52
205,0,74,15.08,18.906,25.37,0.76
205,0,78,15.049,17.337,15.21,0.77
206,0,74,14.704,18.705,27.21,0.85
207,0,74,14.328,18.425,28.6,0.86
207,0,78,14.278,17.337,21.43,0.7
208,0,74,13.966,18.009,28.95,0.71
208,0,78,13.901,17.214,23.84,0.69
209,0,74,13.604,17.522,28.79,0.64
209,0,78,13.524,17.005,25.74,0.7
210,0,74,13.243,17.1,29.13,0.61
210,0,78,13.148,16.703,27.05,0.8
211,0,74,12.881,16.631,29.11,0.61
211,0,78,12.771,16.397,28.39,0.76
212,0,74,12.519,16.168,29.14,0.65
212,0,78,12.394,15.981,28.94,0.75
213,0,74,12.178,15.734,29.2,0.75
213,0,78,11.986,15.525,29.53,0.71
214,0,74,11.837,15.343,29.62,0.83
214,0,78,11.577,15.005,29.61,0.71
215,0,74,11.496,14.942,29.98,0.9
215,0,78,11.169,14.512,29.93,0.68
216,0,74,11.154,14.561,30.54,0.76
216,0,78,10.76,14.04,30.48,0.74
217,0,78,10.352,13.61,31.47,0.75
218,0,78,9.967,13.122,31.65,0.8
218,0,74,10.43,14.129,35.47,0.73
219,0,78,9.583,12.634,31.84,0.77
219,0,74,10.046,13.651,35.87,0.76
220,0,78,9.198,12.179,32.4,0.84
220,0,74,9.663,13.089,35.46,0.79
221,0,78,8.814,11.715,32.92,0.83
221,0,74,9.28,12.506,34.76,0.73
222,0,78,8.41,11.205,33.24,0.76
222,0,74,8.897,11.912,33.89,0.71
222,0,90,24.235,20.308,16.2,0.53
223,0,78,8.052,10.736,33.33,0.78
223,0,74,8.543,11.419,33.67,0.7
224,0,78,7.67,10.242,33.53,0.85
224,0,74,8.189,10.929,33.46,0.69
225,0,78,7.289,9.759,33.89,0.87
225,0,74,7.835,10.476,33.7,0.76
225,0,92,15.489,20.308,31.11,0.61
226,0,78,6.907,9.288,34.48,0.93
226,0,74,7.481,10.021,33.95,0.9
226,0,92,15.372,20.308,32.11,0.66
227,0,78,6.525,8.821,35.19,0.83
227,0,74,7.127,9.566,34.21,0.76
228,0,78,6.195,8.311,34.16,0.89
228,0,74,6.794,9.144,34.58,0.74
228,0,90,15.336,20.308,32.42,0.72
229,0,74,6.461,8.713,34.86,0.76
229,0,90,15.213,20.034,31.69,0.8
230,0,74,6.128,8.304,35.51,0.76
230,0,90,15.09,19.794,31.17,0.71
231,0,74,5.795,7.892,36.19,0.78
231,0,90,14.967,19.602,30.97,0.83
232,0,74,5.462,7.527,37.82,0.86
232,0,90,14.843,19.405,30.73,0.56
233,0,90,14.726,19.19,30.31,0.59
234,0,90,14.61,18.96,29.77,0.54
235,0,90,14.493,18.673,28.84,0.56
236,0,90,14.376,18.336,27.54,0.58
237,0,90,14.259,17.922,25.69,0.51
239,0,90,13.983,17.084,22.18,0.5
240,0,90,13.844,16.757,21.04,0.57
241,0,90,13.706,16.435,19.91,0.56
242,0,90,13.568,16.04,18.22,0.6
243,0,90,13.434,15.726,17.06,0.63
244,0,90,13.3,15.366,15.53,0.65
245,0,90,13.167,15.096,14.65,0.63
246,0,92,12.898,19.595,51.92,0.55
247,0,99,16.925,23.078,36.36,0.58
247,0,90,12.899,14.854,15.15,0.68
248,0,92,12.645,17.434,37.87,0.53
248,0,90,12.717,14.565,14.53,0.67
249,0,92,12.535,16.466,31.37,0.56
249,0,90,12.534,14.3,14.09,0.64
250,0,92,12.424,15.665,26.09,0.52
250,0,90,12.351,14.036,13.64,0.63
251,0,92,12.314,14.992,21.75,0.6
251,0,90,12.169,13.745,12.96,0.68
253,0,92,12.093,14.441,19.41,0.6
253,0,90,11.824,13.475,13.96,0.66
254,0,92,11.965,13.881,16.02,0.74
254,0,90,11.663,13.086,12.2,0.57
255,0,92,11.836,13.395,13.17,0.87
255,0,90,11.501,12.718,10.58,0.58
256,0,92,11.708,12.989,10.95,0.69
256,0,90,14.891,12.417,16.62,0.55
257,0,92,11.58,12.653,9.27,0.76
258,0,92,11.452,12.374,8.05,0.72
259,0,92,11.338,12.164,7.29,0.78
260,2,82,34.735,39.877,14.8,0.78
260,0,92,11.224,12.007,6.97,0.72
260,0,90,10.742,11.893,10.71,0.57
261,2,82,34.484,39.74,15.24,0.89
261,0,90,10.597,11.709,10.49,0.63
262,2,82,34.222,39.175,14.47,0.85
262,0,90,10.452,11.484,9.87,0.72
263,2,82,33.96,38.752,14.11,0.87
263,0,90,12.495,11.271,9.79,0.72
263,0,118,13.926,14.218,2.09,0.57
264,2,82,33.698,38.639,14.66,0.83
264,0,90,12.368,11.098,10.27,0.67
265,2,82,33.454,38.676,15.61,0.83
265,0,90,12.24,10.967,10.4,0.52
266,2,82,33.209,38.83,16.93,0.83
266,0,90,9.804,10.865,10.82,0.51
266,0,118,13.543,14.247,5.2,0.5
267,2,82,32.964,38.947,18.15,0.86
267,0,118,13.415,14.239,6.15,0.59
268,2,82,32.674,38.99,19.33,0.89
268,0,118,13.287,14.16,6.57,0.67
268,0,90,9.475,10.735,13.3,0.65
269,2,82,32.384,38.405,18.59,0.9
269,0,90,9.308,10.525,13.08,0.62
270,2,82,32.127,37.264,15.99,0.81
270,0,90,9.141,10.243,12.06,0.72
271,2,82,31.871,35.763,12.21,0.87
271,0,90,8.973,9.922,10.57,0.71
271,0,121,11.453,11.467,0.12,0.79
271,0,118,12.833,13.989,9.01,0.6
272,2,82,31.614,34.576,9.37,0.9
272,0,90,8.806,9.636,9.42,0.71
272,0,121,11.318,11.467,1.31,0.74
272,0,123,18.395,18.133,1.42,0.59
272,0,118,12.682,13.704,8.06,0.57
273,2,82,31.357,33.666,7.36,0.86
273,0,90,9.506,9.386,1.26,0.7
273,0,121,11.183,11.401,1.94,0.86
274,2,82,31.1,32.717,5.2,0.84
274,0,90,9.39,9.146,2.6,0.66
274,0,121,11.039,11.328,2.61,0.89
274,0,118,12.419,13.398,7.88,0.56
275,2,82,30.817,31.92,3.58,0.83
275,0,90,9.275,8.901,4.02,0.77
