seq,mre,inf_time,fps,map,miss_rate
0000,0.1369,92.45,10.8,0.72,47.49
0001,0.1425,77.27,12.9,0.77,11.8
0002,0.0622,72.21,13.8,0.8,16.67
0003,0.2437,84.42,11.8,0.86,0.0
0004,0.2349,81.87,12.2,0.75,1.37
0006,0.2829,71.89,13.9,0.8,0.74
0007,0.1125,84.77,11.8,0.79,8.98
0009,0.1493,82.09,12.2,0.74,12.03
0010,0.1905,97.52,10.3,0.9,0.0
0011,0.1764,76.77,13.0,0.84,7.16
0013,0.0927,76.36,13.1,0.73,10.75
0015,0.7702,70.07,14.3,0.79,6.4
0016,0.207,72.86,13.7,0.73,14.59
0017,0.6411,77.19,13.0,0.8,0.53
0018,0.4726,76.22,13.1,0.85,1.71
0019,0.2726,77.24,12.9,0.71,7.63
0020,0.5852,79.56,12.6,0.85,1.36
