seq,mre,inf_time,fps,map,miss_rate
0000,0.1545,72.12,13.9,0.72,47.49
0001,0.1072,75.43,13.3,0.78,11.72
0002,0.1416,76.71,13.0,0.8,18.0
0003,0.1666,91.26,11.0,0.86,0.0
0004,0.1336,84.72,11.8,0.81,2.94
0006,0.1862,76.35,13.1,0.8,0.0
0007,0.1457,81.51,12.3,0.79,4.57
0009,0.1399,82.67,12.1,0.75,5.36
0010,0.052,87.12,11.5,0.9,0.0
0011,0.1162,80.52,12.4,0.84,6.06
0013,0.1548,82.06,12.2,0.73,10.75
0015,0.1747,76.7,13.0,0.78,7.8
0016,0.144,81.41,12.3,0.73,14.59
0018,0.2043,77.98,12.8,0.86,0.32
0019,0.1356,78.49,12.7,0.7,7.71
0020,0.0812,81.54,12.3,0.86,1.5
