seq,mre,inf_time,fps,map,miss_rate
0000,0.0921,59.96,16.7,0.76,45.38
0001,0.0798,53.49,18.7,0.79,6.9
0002,0.1052,63.83,15.7,0.83,18.75
0003,0.1072,86.24,11.6,0.88,0.0
0004,0.1419,80.32,12.4,0.82,3.64
0006,0.0424,70.17,14.3,0.81,0.0
0007,0.0735,76.47,13.1,0.8,2.59
0009,0.0799,76.09,13.1,0.78,4.49
0010,0.078,61.92,16.2,0.9,0.0
0011,0.0873,75.38,13.3,0.85,3.42
0013,0.0375,72.06,13.9,0.77,0.0
0015,0.1916,57.82,17.3,0.79,8.33
0016,0.0938,59.08,16.9,0.74,5.19
0018,0.1634,60.1,16.6,0.87,0.0
0019,0.1337,64.54,15.5,0.71,4.83
0020,0.1895,57.68,17.3,0.88,0.0
