seq,mre,inf_time,fps,map,miss_rate
0000,0.1423,78.47,12.7,0.72,47.49
0001,0.1033,79.71,12.5,0.77,11.8
0002,0.1608,81.36,12.3,0.8,16.67
0003,0.178,94.73,10.6,0.86,0.0
0004,0.1774,98.58,10.1,0.75,1.37
0006,0.1675,96.73,10.3,0.8,0.74
0007,0.1566,102.71,9.7,0.79,8.7
0009,0.2216,104.63,9.6,0.74,12.03
0010,0.076,92.93,10.8,0.9,0.0
0011,0.1181,91.29,11.0,0.84,7.16
0013,0.1502,92.73,10.8,0.73,10.75
0015,0.3042,84.66,11.8,0.79,6.4
0016,0.149,88.77,11.3,0.73,14.59
0018,0.1149,85.92,11.6,0.85,1.71
0019,0.1805,81.63,12.3,0.71,7.63
0020,0.1186,88.48,11.3,0.85,1.36
