frame,obj_id,dist_gt,dist_pred,error_pct,iou,source_file,csv_line_number,abs_error,dist_bin
621,186,9.823,13.344,35.84444670670873,0.53,4_0019_details.csv,835,3.520999999999999,0-10m
622,186,9.967,13.278,33.21962476171365,0.57,4_0019_details.csv,837,3.311,0-10m
181,67,9.871,12.355,25.164623645020768,0.55,4_0019_details.csv,53,2.484,0-10m
183,68,9.622,12.103,25.784660153814176,0.63,4_0019_details.csv,55,2.481,0-10m
480,186,9.867,12.226,23.907976081889124,0.67,4_0019_details.csv,579,2.359,0-10m
479,187,9.764,12.055,23.463744367062684,0.63,4_0019_details.csv,576,2.2910000000000004,0-10m
293,126,8.189,10.475,27.915496397606542,0.63,4_0019_details.csv,250,2.2859999999999996,0-10m
480,187,9.596,11.801,22.978324301792412,0.62,4_0019_details.csv,578,2.205,0-10m
478,187,9.932,12.096,21.78815948449456,0.66,4_0019_details.csv,574,2.1639999999999997,0-10m
481,186,9.71,11.856,22.100926879505653,0.81,4_0019_details.csv,581,2.145999999999999,0-10m
295,128,14.681,24.255,65.21354131189973,0.55,4_0019_details.csv,257,9.574,10-20m
315,20,19.429,28.374,46.03942560090587,0.8,4_0020_details.csv,277,8.945,10-20m
290,128,15.437,24.342,57.686078901340935,0.59,4_0019_details.csv,244,8.905,10-20m
398,167,15.637,24.5,56.679670013429686,0.52,4_0019_details.csv,533,8.863,10-20m
314,20,19.533,28.349,45.133876004709975,0.82,4_0020_details.csv,276,8.815999999999999,10-20m
396,167,16.254,24.959,53.556047742094236,0.59,4_0019_details.csv,531,8.704999999999998,10-20m
400,167,15.007,23.69,57.85966548943827,0.51,4_0019_details.csv,534,8.683000000000002,10-20m
397,167,15.946,24.614,54.35845980183118,0.51,4_0019_details.csv,532,8.668000000000001,10-20m
313,20,19.636,28.275,43.995722143002645,0.81,4_0020_details.csv,275,8.639,10-20m
316,20,19.326,27.937,44.55655593500983,0.8,4_0020_details.csv,278,8.611,10-20m
626,243,22.042,37.819,71.57698938390345,0.73,4_0019_details.csv,843,15.777000000000001,20-30m
522,20,23.688,38.367,61.96808510638297,0.86,4_0020_details.csv,361,14.678999999999998,20-30m
291,20,24.204,38.478,58.973723351512156,0.88,4_0020_details.csv,254,14.274000000000001,20-30m
523,20,23.467,37.661,60.48493629351858,0.85,4_0020_details.csv,362,14.194000000000003,20-30m
521,20,23.924,38.045,59.024410633673305,0.77,4_0020_details.csv,360,14.121000000000002,20-30m
353,44,25.228,39.261,55.62470271127319,0.78,4_0015_details.csv,122,14.033000000000001,20-30m
376,20,25.815,39.768,54.04997094712376,0.67,4_0020_details.csv,334,13.953,20-30m
290,20,24.501,38.376,56.63034161870942,0.86,4_0020_details.csv,253,13.874999999999996,20-30m
745,191,25.952,39.426,51.91892725030826,0.93,4_0020_details.csv,456,13.474,20-30m
514,20,25.578,38.904,52.09946047384473,0.84,4_0020_details.csv,354,13.326000000000004,20-30m
197,54,38.345,26.968,29.670100404224797,0.73,4_0007_details.csv,120,11.376999999999999,30-40m
198,54,37.436,27.382,26.856501763008865,0.81,4_0007_details.csv,123,10.053999999999998,30-40m
495,20,30.292,39.333,29.846164003697336,0.88,4_0020_details.csv,347,9.040999999999997,30-40m
165,9,31.143,39.742,27.611341232379655,0.82,4_0020_details.csv,192,8.598999999999997,30-40m
104,11,30.905,39.306,27.183303672544884,0.77,4_0018_details.csv,28,8.400999999999996,30-40m
208,13,30.971,39.116,26.298795647541244,0.84,4_0018_details.csv,145,8.145,30-40m
58,4,33.812,25.848,23.553767893055717,0.83,4_0004_details.csv,33,7.963999999999999,30-40m
82,40,30.221,22.401,25.87604645776116,0.7,4_0009_details.csv,27,7.82,30-40m
59,4,34.181,26.584,22.22579795792984,0.84,4_0004_details.csv,34,7.596999999999998,30-40m
163,9,31.604,39.105,23.734337425642316,0.82,4_0020_details.csv,191,7.500999999999998,30-40m
362,63,47.272,37.423,20.83474361144017,0.8,4_0007_details.csv,165,9.848999999999997,40-50m
361,63,47.9,38.224,20.200417536534452,0.74,4_0007_details.csv,163,9.676000000000002,40-50m
363,63,46.713,37.164,20.44184702331257,0.81,4_0007_details.csv,167,9.549,40-50m
253,119,44.569,35.918,19.410352487154757,0.69,4_0001_details.csv,90,8.651000000000003,40-50m
364,63,46.155,37.864,17.963384248727124,0.88,4_0007_details.csv,169,8.291000000000004,40-50m
365,63,45.344,37.308,17.722300635144673,0.9,4_0007_details.csv,171,8.036000000000001,40-50m
281,125,40.568,33.389,17.69621376454347,0.73,4_0001_details.csv,104,7.178999999999995,40-50m
366,63,44.534,37.914,14.865046930435168,0.82,4_0007_details.csv,173,6.619999999999997,40-50m
22,2,40.412,33.874,16.178362862516078,0.78,4_0009_details.csv,3,6.537999999999997,40-50m
261,81,45.767,39.492,13.710752288767027,0.76,4_0011_details.csv,246,6.275000000000006,40-50m
