seq,mre,inf_time,fps,map,miss_rate
0000,0.0985,81.43,12.3,0.76,45.38
0001,0.084,76.88,13.0,0.79,6.9
0002,0.0972,71.08,14.1,0.83,18.75
0003,0.1032,88.88,11.3,0.88,0.0
0004,0.1397,81.8,12.2,0.82,3.64
0006,0.0418,70.48,14.2,0.81,0.0
0007,0.083,76.77,13.0,0.8,2.58
0009,0.0884,77.93,12.8,0.78,4.49
0010,0.08,82.98,12.1,0.9,0.0
0011,0.0892,76.56,13.1,0.85,3.42
0013,0.0377,76.74,13.0,0.77,0.0
0015,0.1869,70.42,14.2,0.79,8.33
0016,0.0908,73.62,13.6,0.74,5.19
0018,0.1605,74.76,13.4,0.87,0.0
0019,0.1321,75.05,13.3,0.71,4.82
0020,0.1899,79.66,12.6,0.88,0.0
