seq,mre,inf_time,fps,map,miss_rate
0000,0.1116,58.92,17.0,0.72,47.49
0001,0.1299,58.79,17.0,0.77,11.8
0002,0.0923,56.74,17.6,0.8,16.67
0003,0.0635,66.32,15.1,0.86,0.0
0004,0.1087,61.08,16.4,0.75,1.37
0006,0.0815,55.03,18.2,0.8,0.74
0007,0.1339,57.39,17.4,0.79,9.26
0009,0.189,62.26,16.1,0.74,12.03
0010,0.1094,84.61,11.8,0.9,0.0
0011,0.0769,73.66,13.6,0.84,7.16
0013,0.0403,54.22,18.4,0.73,10.75
0015,0.3326,51.37,19.5,0.79,6.4
0016,0.1235,58.03,17.2,0.73,14.59
0017,0.8387,58.55,17.1,0.8,0.53
0018,0.5193,57.22,17.5,0.85,1.71
0019,0.2993,56.67,17.6,0.71,7.63
0020,0.1913,60.78,16.5,0.85,1.36
