seq,mre,inf_time,fps,map,miss_rate
0000,0.1087,77.47,12.9,0.74,45.24
0001,0.1144,99.83,10.0,0.8,7.19
0002,0.2112,103.28,9.7,0.8,28.57
0003,0.1487,132.11,7.6,0.84,0.0
0004,0.1116,99.29,10.1,0.81,1.59
0006,0.1964,91.3,11.0,0.82,0.0
0007,0.1605,95.59,10.5,0.79,1.1
0009,0.1684,100.5,10.0,0.75,7.66
0010,0.0365,102.58,9.7,0.86,0.0
0011,0.1065,100.77,9.9,0.85,3.39
0013,0.1523,95.93,10.4,0.76,4.65
0015,0.1929,108.52,9.2,0.8,2.56
0016,0.1683,114.98,8.7,0.74,4.93
0018,0.0814,72.9,13.7,0.86,0.0
0019,0.137,97.13,10.3,0.71,4.4
0020,0.0911,98.13,10.2,0.86,0.0
